Entity,Day,"Daily new confirmed cases of COVID-19 per million people (rolling 7-day average, right-aligned)"
Belgium,2020-01-09,0.0
Belgium,2020-01-10,0.0
Belgium,2020-01-11,0.0
Belgium,2020-01-12,0.0
Belgium,2020-01-13,0.0
Belgium,2020-01-14,0.0
Belgium,2020-01-15,0.0
Belgium,2020-01-16,0.0
Belgium,2020-01-17,0.0
Belgium,2020-01-18,0.0
Belgium,2020-01-19,0.0
Belgium,2020-01-20,0.0
Belgium,2020-01-21,0.0
Belgium,2020-01-22,0.0
Belgium,2020-01-23,0.0
Belgium,2020-01-24,0.0
Belgium,2020-01-25,0.0
Belgium,2020-01-26,0.0
Belgium,2020-01-27,0.0
Belgium,2020-01-28,0.0
Belgium,2020-01-29,0.0
Belgium,2020-01-30,0.0
Belgium,2020-01-31,0.0
Belgium,2020-02-01,0.0
Belgium,2020-02-02,0.0
Belgium,2020-02-03,0.0
Belgium,2020-02-04,0.0
Belgium,2020-02-05,0.012271039
Belgium,2020-02-06,0.012271039
Belgium,2020-02-07,0.012271039
Belgium,2020-02-08,0.012271039
Belgium,2020-02-09,0.012271039
Belgium,2020-02-10,0.012271039
Belgium,2020-02-11,0.012271039
Belgium,2020-02-12,0.0
Belgium,2020-02-13,0.0
Belgium,2020-02-14,0.0
Belgium,2020-02-15,0.0
Belgium,2020-02-16,0.0
Belgium,2020-02-17,0.0
Belgium,2020-02-18,0.0
Belgium,2020-02-19,0.0
Belgium,2020-02-20,0.0
Belgium,2020-02-21,0.0
Belgium,2020-02-22,0.0
Belgium,2020-02-23,0.0
Belgium,2020-02-24,0.0
Belgium,2020-02-25,0.0
Belgium,2020-02-26,0.0
Belgium,2020-02-27,0.0
Belgium,2020-02-28,0.0
Belgium,2020-02-29,0.0
Belgium,2020-03-01,0.0
Belgium,2020-03-02,0.0
Belgium,2020-03-03,0.2208787
Belgium,2020-03-04,0.45402846
Belgium,2020-03-05,0.8712438
Belgium,2020-03-06,1.5216088
Belgium,2020-03-07,2.515563
Belgium,2020-03-08,3.8653774
Belgium,2020-03-09,4.1966953
Belgium,2020-03-10,4.761163
Belgium,2020-03-11,5.681491
Belgium,2020-03-12,6.479109
Belgium,2020-03-13,7.9639044
Belgium,2020-03-14,10.03771
Belgium,2020-03-15,12.835507
Belgium,2020-03-16,14.700705
Belgium,2020-03-17,16.54136
Belgium,2020-03-18,20.136776
Belgium,2020-03-19,24.10032
Belgium,2020-03-20,28.517895
Belgium,2020-03-21,34.199387
Belgium,2020-03-22,38.1752
Belgium,2020-03-23,41.733803
Belgium,2020-03-24,45.071526
Belgium,2020-03-25,56.618576
Belgium,2020-03-26,66.10409
Belgium,2020-03-27,74.26433
Belgium,2020-03-28,82.2405
Belgium,2020-03-29,92.744514
Belgium,2020-03-30,97.34615
Belgium,2020-03-31,99.76355
Belgium,2020-04-01,104.79468
Belgium,2020-04-02,110.7584
Belgium,2020-04-03,114.648315
Belgium,2020-04-04,116.05949
Belgium,2020-04-05,118.21919
Belgium,2020-04-06,119.17633
Belgium,2020-04-07,118.95545
Belgium,2020-04-08,121.36058
Belgium,2020-04-09,119.323586
Belgium,2020-04-10,120.32981
Belgium,2020-04-11,129.66808
Belgium,2020-04-12,137.54608
Belgium,2020-04-13,138.85909
Belgium,2020-04-14,137.12886
Belgium,2020-04-15,119.98622
Belgium,2020-04-16,120.538414
Belgium,2020-04-17,120.9679
Belgium,2020-04-18,114.03477
Belgium,2020-04-19,102.47545
Belgium,2020-04-20,98.70824
Belgium,2020-04-21,97.71429
Belgium,2020-04-22,106.782585
Belgium,2020-04-23,103.22398
Belgium,2020-04-24,92.71997
Belgium,2020-04-25,84.154785
